Label,MetaboliteName
CurrencyMetabolite,"3',5'-ADP"
CurrencyMetabolite,ADP
CurrencyMetabolite,AMP
CurrencyMetabolite,ATP
CurrencyMetabolite,CO
CurrencyMetabolite,CO2
CurrencyMetabolite,Ca2+
CurrencyMetabolite,Cl-
CurrencyMetabolite,CoA-SH
CurrencyMetabolite,FAD
CurrencyMetabolite,FADH2
CurrencyMetabolite,GDP
CurrencyMetabolite,GTP
CurrencyMetabolite,H+
CurrencyMetabolite,H2O
ContextDependentMetabolite,H2O2
CurrencyMetabolite,HCO3-
CurrencyMetabolite,K+
CurrencyMetabolite,NAD(P)+
CurrencyMetabolite,NAD(P)H
CurrencyMetabolite,NAD+
CurrencyMetabolite,NADH
CurrencyMetabolite,NADP+
CurrencyMetabolite,NADPH
CurrencyMetabolite,NH3
CurrencyMetabolite,NH4+
CurrencyMetabolite,Na+
CurrencyMetabolite,O2
ContextDependentMetabolite,O2.-
ContextDependentMetabolite,PAP
CurrencyMetabolite,PPi
CurrencyMetabolite,PPi(3-)
CurrencyMetabolite,Pi
ContextDependentMetabolite,UDP
NonCurrencyMetabolite,Ub
CurrencyMetabolite,"adenosine 5'-monophosphate"
CurrencyMetabolite,phosphate
